date,trip_count_diff1,trip_count_hp_cycle,trip_count_hp_trend,avg_fare_diff1,avg_fare_hp_cycle,avg_fare_hp_trend,total_revenue_diff1,total_revenue_hp_cycle,total_revenue_hp_trend
2023-05-13,-3903.0,8897.172123457261,111969.82787654274,-1.0822196876763925,-1.0749447189420707,20.193568743696552,-385334.70999999996,16984.717958176974,3284699.162041823
2023-05-14,-12341.0,-3368.1166420028458,111894.11664200285,1.606775602984495,0.5235355779191764,20.2018640498198,-92585.21999999974,-74380.26305855252,3283478.9230585527
2023-05-15,-498.0,-3779.2141539453733,111807.21415394537,0.10261320226805637,0.6182842807784432,20.20972854922859,89668.62999999989,16899.062748077326,3281868.2272519227
2023-05-16,15554.0,11872.939331319707,111709.0606686803,-0.5807310252134528,0.03012129753024695,20.217160507263333,367441.04000000004,386343.88434673334,3279864.4456532667
2023-05-17,7523.0,19505.432718085445,111599.56728191455,0.2425847906833276,0.2657036355004294,20.22416295997648,267591.6000000001,656334.8503120802,3277465.07968792
2023-05-18,2394.0,22020.26329845871,111478.73670154129,0.5195372951889397,0.7786647148279684,20.23073917583788,156425.83999999985,815555.1581702926,3274670.6118297074
2023-05-19,-6748.0,15404.277859664362,111346.72214033564,-1.2451695256509758,-0.4726601084848987,20.23689447349977,-404298.93999999994,414440.24113543006,3271486.58886457
2023-05-20,-8653.0,6894.153279488135,111203.84672051186,-0.001970059099445365,-0.48037587391435466,20.24264017982978,-368822.8999999999,49179.079557674006,3267924.850442326
2023-05-21,-16356.0,-9308.552424452864,111050.55242445286,2.4082003006384056,1.9224806319270336,20.2479839746268,-119983.70999999996,-66880.21405416122,3264000.4340541614
2023-05-22,1225.0,-7920.334430168747,110887.33443016875,-1.7353153839873805,0.18221939148071087,20.25292983108574,-99046.18000000017,-161654.7166594658,3259728.756659466
2023-05-23,12531.0,4783.383909580574,110714.61609041943,-0.8673180912914518,-0.6896654250820298,20.25749655635703,238478.47999999998,81427.80083340174,3255124.7191665983
2023-05-24,8930.0,13895.240355726768,110532.75964427323,-0.036601022296313346,-0.7304742546262268,20.261704363604913,254037.6299999999,340388.17485185945,3250201.9751481405
2023-05-25,-8323.0,5762.835760375048,110342.16423962495,0.9239233297190417,0.18958529419656145,20.265568144501167,-118676.5,226938.843522395,3244974.806477605
2023-05-26,-14624.0,-8662.336240730132,110143.33624073013,-0.30007928688605645,-0.11402300253047315,20.269097154342145,-481082.14000000013,-248628.6114804712,3239460.121480471
2023-05-27,-8586.0,-17041.826478169707,109936.8264781697,-0.7044875755696793,-0.8217155350317036,20.272302111273696,-425674.85999999987,-668519.9295535418,3233676.5795535417
2023-05-28,-10314.0,-27142.11894351036,109723.11894351036,1.3074333072663222,0.4828270298737749,20.27519285363454,-148217.35999999987,-810701.631662976,3227640.921662976
2023-05-29,-8073.0,-34994.56613274405,109502.56613274405,1.4653875358292048,1.945634539971767,20.277772879365752,-68136.93000000017,-872562.3704421436,3221364.7304421435
2023-05-30,24804.0,-9963.311111932606,109275.3111119326,-1.674270356344124,0.26908765106778887,20.280049411925607,626250.8600000003,-239800.113110587,3214853.333110587
2023-05-31,14353.0,4623.773072662589,109041.22692733741,-0.7321619167302522,-0.46506954112142296,20.282044687384566,327109.5599999996,94057.45584648894,3208105.324153511
2023-06-01,8437.0,13301.890252180674,108800.10974781933,0.550166669595729,0.08335879775217947,20.283783018106693,324450.0900000003,425495.4222533987,3201117.4477466014
2023-06-02,-4295.0,9255.208580499471,108551.79141950053,-0.9745019897025315,-0.8926453018001723,20.285285127956513,-264469.11000000034,168256.58618247975,3193887.17381752
2023-06-03,-895.0,8615.793573454692,108296.20642654531,-0.40861987952981593,-1.3025524373726256,20.28657238399915,-184269.6299999999,-8541.125437617768,3186415.2554376177
2023-06-04,-17616.0,-8737.360666764434,108033.36066676443,2.92652791028614,1.6228885913081683,20.287659265604496,-90905.56999999983,-91735.18395437486,3178703.743954375
2023-06-05,3146.0,-5321.32651785732,107763.32651785732,-1.4332423572152777,0.18875529811388603,20.2885502015835,-2379.1099999998696,-86165.1748115262,3170754.6248115264
2023-06-06,17657.0,12612.891060383,107486.108939617,-0.6976587083002919,-0.5096153516385407,20.289262143035636,416790.31999999983,338810.59438040294,3162569.175619597
2023-06-07,2657.0,15554.328167781627,107201.67183221837,0.19111626702774842,-0.31905043908074404,20.289813497505587,101602.7799999998,448834.540865629,3154148.009134371
2023-06-08,-4137.0,11708.923582473319,106910.07641752668,-0.29202432348355956,-0.6114800053795442,20.290218740320828,-152104.8299999996,305383.36760909064,3145494.3523909096
2023-06-09,-4487.0,7520.496064628576,106611.50393537142,-0.05000936894401775,-0.6617605190026232,20.29048988499989,-150743.6700000004,163519.15434624068,3136614.895653759
2023-06-10,-2568.0,5257.774027785286,106306.22597221471,-0.6323835913746301,-1.2942884522287486,20.290634226851385,-266208.4199999999,-93593.05554060871,3127518.6855406086
2023-06-11,-15424.0,-9854.572143037658,105994.57214303766,3.009346133012066,1.7150379526276254,20.290653955007077,-34014.6799999997,-118305.08039101725,3118216.0303910174
2023-06-12,10066.0,529.0873679346114,105676.91263206539,-1.8944118481277066,-0.1792612122981332,20.29054127180513,143222.3099999996,34416.74362409348,3108716.5163759063
2023-06-13,10496.0,11348.458414842244,105353.54158515776,-0.2675191128222778,-0.4465406662165208,20.29030161290124,263399.13000000035,307503.5731816455,3099028.8168183547
2023-06-14,4963.0,16640.242769361095,105024.7572306389,-0.08961028708663932,-0.5357883711646529,20.28993903076273,132402.23999999976,449772.75939726597,3089161.870602734
2023-06-15,5093.0,22067.054637901514,104690.94536209849,0.5236124007215857,-0.0116910720074479,20.289454132327112,229836.1499999999,689643.7906738282,3079126.9893261716
2023-06-16,-16487.0,5918.379829938931,104352.62017006107,0.23458406630474116,0.2235037362620531,20.288843390362352,-476756.1799999997,223075.64494538167,3068938.9550546184
